epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,894.238,1.78444,2.65349,0.00508,0.52828,0.30831,0.30803,0.15815,1.61401,1.49522,0.00616,0.009995,0.00333167,0.009995,0.00333167,0.009995,0.00333167,0.009995,0.00333167
2,1627.68,1.72813,1.59275,0.0049,0.49643,0.39867,0.38771,0.19637,1.59973,1.36359,0.00609,0.019797,0.00659902,0.019797,0.00659902,0.019797,0.00659902,0.019797,0.00659902
3,2156.58,1.75112,1.45941,0.00502,0.63215,0.3847,0.40005,0.19488,1.64933,1.35111,0.00643,0.0294011,0.00980037,0.0294011,0.00980037,0.0294011,0.00980037,0.0294011,0.00980037
4,2486.04,1.77096,1.44384,0.0051,0.66078,0.39946,0.43873,0.22069,1.62746,1.30201,0.00629,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2817.57,1.74074,1.38179,0.00499,0.62909,0.41767,0.45573,0.23948,1.57954,1.28012,0.00605,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3148.35,1.71824,1.32947,0.0049,0.70026,0.45174,0.51704,0.27072,1.56382,1.21293,0.00595,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3475.23,1.7051,1.30278,0.00486,0.70698,0.44987,0.51435,0.26962,1.55785,1.19937,0.00594,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3809.65,1.687,1.2699,0.00475,0.71874,0.46737,0.52865,0.28399,1.54212,1.13769,0.00588,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4190.93,1.68008,1.24611,0.00472,0.71367,0.49046,0.5695,0.31386,1.52825,1.10915,0.00578,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4651.12,1.66708,1.2263,0.00469,0.7342,0.51282,0.58376,0.31762,1.51545,1.10353,0.00573,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5224,1.65624,1.20844,0.00463,0.7627,0.51204,0.59714,0.32625,1.50269,1.0782,0.00566,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5799.96,1.64891,1.19485,0.00459,0.75108,0.53836,0.61694,0.34257,1.50169,1.0562,0.00563,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6384.25,1.63729,1.17653,0.00456,0.7499,0.54546,0.65043,0.35724,1.48673,1.02899,0.00551,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6923.46,1.62985,1.16163,0.00453,0.79265,0.55423,0.66553,0.36976,1.48335,1.012,0.00554,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7491.13,1.62368,1.14997,0.00451,0.77618,0.56556,0.64241,0.36377,1.47186,1.00847,0.00545,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8059.76,1.61228,1.12989,0.0045,0.80076,0.56513,0.6586,0.37674,1.46828,1.00293,0.00542,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8635.16,1.61151,1.12278,0.00445,0.7809,0.58463,0.66661,0.38174,1.45194,0.97872,0.00537,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9208.02,1.60278,1.11852,0.00443,0.79782,0.58116,0.66803,0.37647,1.45279,0.97614,0.00537,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9785.87,1.59696,1.11113,0.00442,0.79933,0.5791,0.68294,0.39291,1.43935,0.96095,0.00532,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10361.4,1.59195,1.09659,0.00437,0.81229,0.59372,0.70334,0.41009,1.434,0.94736,0.00529,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10941.3,1.59031,1.09089,0.00436,0.83195,0.5909,0.68324,0.39646,1.43124,0.92699,0.00525,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11461.6,1.58406,1.08088,0.00434,0.83995,0.59012,0.7109,0.41369,1.42414,0.92419,0.00523,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,11794.5,1.5745,1.071,0.00432,0.84907,0.59935,0.70678,0.41195,1.42233,0.90548,0.00522,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12266.1,1.5731,1.06703,0.0043,0.83099,0.61243,0.73308,0.4249,1.41377,0.89896,0.00518,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,12803.4,1.56466,1.06065,0.00429,0.74777,0.6482,0.72012,0.42065,1.40679,0.90636,0.00516,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13135.1,1.5636,1.05303,0.00427,0.76249,0.65717,0.73933,0.43528,1.39856,0.88792,0.0051,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,13467.7,1.55919,1.05031,0.00427,0.84871,0.62407,0.73219,0.42322,1.39422,0.88681,0.0051,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,13800.2,1.55262,1.0421,0.00423,0.85502,0.61719,0.73879,0.43186,1.39438,0.87874,0.00508,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,14139.9,1.5502,1.03778,0.00425,0.8346,0.62897,0.73592,0.42887,1.39143,0.87708,0.00507,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,14473.4,1.54858,1.03396,0.00422,0.84847,0.62781,0.73966,0.43188,1.38606,0.88196,0.00502,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,14807.8,1.54292,1.02654,0.00421,0.85879,0.62567,0.7397,0.43699,1.38091,0.87127,0.00501,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,15141.6,1.53942,1.02208,0.00419,0.85765,0.63221,0.74374,0.43767,1.38433,0.86664,0.00502,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,15478,1.53451,1.01506,0.00417,0.85613,0.63161,0.7477,0.44042,1.38202,0.86137,0.00501,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,15812.2,1.52792,1.00715,0.00414,0.87105,0.62175,0.75271,0.44274,1.38002,0.85894,0.00499,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,16145.5,1.52177,1.00435,0.00415,0.83809,0.64176,0.75312,0.44668,1.37792,0.854,0.00498,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,16483.5,1.51796,0.9973,0.0041,0.8679,0.62897,0.76548,0.45467,1.37512,0.85315,0.00497,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16819.6,1.51788,0.9984,0.0041,0.84619,0.64969,0.77116,0.45816,1.36997,0.85711,0.00495,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,17154.1,1.50999,0.99416,0.00408,0.84701,0.65626,0.77921,0.46141,1.36886,0.84463,0.00494,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,17487.3,1.51079,0.98894,0.00407,0.77838,0.68726,0.77952,0.46195,1.36862,0.84639,0.00494,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17821.7,1.50348,0.98016,0.00409,0.77763,0.69163,0.78829,0.46485,1.36503,0.84579,0.00493,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,18157.8,1.50207,0.97873,0.00406,0.74282,0.74322,0.79851,0.46895,1.36371,0.84481,0.00493,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18492.9,1.49987,0.97269,0.00406,0.74636,0.74917,0.7989,0.47012,1.36214,0.83798,0.00492,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18826.9,1.49707,0.96836,0.00403,0.74218,0.75422,0.79942,0.47053,1.36024,0.83661,0.00491,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,19160.9,1.49053,0.96406,0.004,0.76356,0.74554,0.80001,0.47129,1.35878,0.83828,0.00491,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19494.2,1.49229,0.964,0.00401,0.79021,0.73208,0.79866,0.47134,1.35627,0.83629,0.0049,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19832.1,1.48383,0.95593,0.00399,0.79646,0.73048,0.7988,0.47233,1.35615,0.83219,0.0049,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20169,1.48317,0.95288,0.00399,0.80463,0.72868,0.79984,0.47423,1.35662,0.82791,0.00489,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
